timestamp,mac,boardtype,boardid,temp_max,temp_min,temp_avg,light_max,light_min,light_avg,humidity_min,humidity_max,humidity_avg,model,latitude,longitude,elevation,location,rowid,position,geolocation
2015-02-06T07:30:00+00:00,0013a20040b31583,1,509,38.1,38.1,38.1,97.9,97.9,97.9,17.6,17.6,17.6,ENV,-37.8199043,144.9404851,,Docklands Library,509-20150206073000,,"-37.8199043, 144.9404851"
2015-02-06T21:00:00+00:00,0013a20040b31583,1,509,26.1,26.1,26.1,90.7,90.7,90.7,32.4,32.4,32.4,ENV,-37.8199043,144.9404851,,Docklands Library,509-20150206210000,,"-37.8199043, 144.9404851"
2015-02-06T05:55:00+00:00,0013a20040b31571,1,510,40.3,40.3,40.3,98.1,98.1,98.1,27.5,27.5,27.5,ENV,-37.8197121,144.9413253,,Docklands Library,510-20150206055500,,"-37.8197121, 144.9413253"
2015-02-06T07:00:00+00:00,0013a20040b31583,1,509,38.1,38.1,38.1,97.8,97.8,97.8,19.3,19.3,19.3,ENV,-37.8199043,144.9404851,,Docklands Library,509-20150206070000,,"-37.8199043, 144.9404851"
2015-02-06T10:45:00+00:00,0013a20040b31583,1,509,28.4,28.4,28.4,5.3,5.3,5.3,30.5,30.5,30.5,ENV,-37.8199043,144.9404851,,Docklands Library,509-20150206104500,,"-37.8199043, 144.9404851"
2015-02-12T03:20:00+00:00,0013a20040b31583,1,509,22.3,22.3,22.3,97.3,97.3,97.3,45.1,45.1,45.1,ENV,-37.8199043,144.9404851,,Docklands Library,509-20150212032000,,"-37.8199043, 144.9404851"
2015-02-17T01:35:00+00:00,0013a20040b31583,1,509,20.3,20.3,20.3,95.6,95.6,95.6,56.3,56.3,56.3,ENV,-37.8199043,144.9404851,,Docklands Library,509-20150217013500,,"-37.8199043, 144.9404851"
2015-02-06T13:50:00+00:00,0013a20040b31583,1,509,26.1,26.1,26.1,3.2,3.2,3.2,37.3,37.3,37.3,ENV,-37.8199043,144.9404851,,Docklands Library,509-20150206135000,,"-37.8199043, 144.9404851"
2015-02-07T13:30:00+00:00,0013a20040b31571,1,510,24.5,24.5,24.5,1.1,1.1,1.1,41.8,41.8,41.8,ENV,-37.8197121,144.9413253,,Docklands Library,510-20150207133000,,"-37.8197121, 144.9413253"
2015-02-06T19:30:00+00:00,0013a20040b31583,1,509,25.5,25.5,25.5,38.9,38.9,38.9,33.8,33.8,33.8,ENV,-37.8199043,144.9404851,,Docklands Library,509-20150206193000,,"-37.8199043, 144.9404851"
2015-02-06T23:00:00+00:00,0013a20040b31571,1,510,28.4,28.4,28.4,97.4,97.4,97.4,34.6,34.6,34.6,ENV,-37.8197121,144.9413253,,Docklands Library,510-20150206230000,,"-37.8197121, 144.9413253"
2015-02-08T12:25:00+00:00,0013a20040b31583,1,509,18.4,18.4,18.4,3.6,3.6,3.6,58.1,58.1,58.1,ENV,-37.8199043,144.9404851,,Docklands Library,509-20150208122500,,"-37.8199043, 144.9404851"
2015-02-07T12:15:00+00:00,0013a20040b31583,1,509,25.8,25.8,25.8,3.1,3.1,3.1,41.4,41.4,41.4,ENV,-37.8199043,144.9404851,,Docklands Library,509-20150207121500,,"-37.8199043, 144.9404851"
2015-02-07T13:05:00+00:00,0013a20040b31583,1,509,25.5,25.5,25.5,3.3,3.3,3.3,41.0,41.0,41.0,ENV,-37.8199043,144.9404851,,Docklands Library,509-20150207130500,,"-37.8199043, 144.9404851"
2015-02-07T12:45:00+00:00,0013a20040b31583,1,509,25.5,25.5,25.5,3.3,3.3,3.3,42.0,42.0,42.0,ENV,-37.8199043,144.9404851,,Docklands Library,509-20150207124500,,"-37.8199043, 144.9404851"
